pc_id,pos,neg,eig_val,exp_var
0,logan doyle christopher zach boat 00 ace editor paul 10,jess wanna dean harvard yup awhile studying dollars fifty chilton,0.03575827863465892,0.20471609205001298
1,jess logan zach boat doyle yale ace dude mama apartment,christopher dean chilton harvard jackson chris lunch french wanna kiss,0.022374928912804442,0.128096434778784
2,christopher jess chris logan paul screwed dean pancakes marriage leaving,harvard chilton birthday test cat yale bell cake teacher french,0.019299462833807186,0.11048939604637549
3,taylor dean zach mama jackson 1 church dragonfly band kim,birthday harvard christopher chilton logan jess yale fish gift hospital,0.01764941416871305,0.10104286989052731
4,taylor birthday logan dollars dragonfly twenty thousand jackson ace hundred,zach 00 mama brian jess kim dude professor boat apartment,0.01550730937252282,0.08877932311530275
5,birthday dean pizza fish alright dance dollars grandmother christmas 1,harvard taylor yale christopher chilton flowers forty chris wedding win,0.014557617800814937,0.08334234027842669
6,logan dean wedding chilton harvard wanna percent boat salad dress,birthday fish taylor dog danes paul letter christmas naked park,0.013449491786909925,0.07699832049539061
7,doyle yale boat lunch dean campus soup tom editor dragonfly,zach fish harvard chilton christmas taylor mama birthday band hospital,0.012464231065037362,0.07135770432667413
8,zach birthday mama band christopher brian wanna kim dollars boat,paul alright teacher logan jess chilton cat 6 dance soup,0.01198212758270452,0.06859766260667866
9,chilton dollars tea club soup fix ball thousand fifteen independence,harvard dean birthday yale 1 cat 00 jackson doyle soda,0.011629672260684175,0.06657985641182733
